E_A_max,E_B_max,k_A,k_B,D_1,D_2,bvp1_S3_yield,bvp2_S3_yield
7.191648388,2.808351612,128.7120931,1.613279316,2.71E-07,1.64E-06,0.113047959,0.133958661
4.511027518,5.488972482,771.4463068,471.8104786,1.92E-06,8.94E-08,999,999
7.868783359,2.131216641,10.06849931,133.4062393,5.13E-06,4.68E-06,1.000195389,1.000197628
6.578944232,3.421055768,0.376348345,0.276919567,1.45E-06,6.05E-07,-0.301863304,-0.304670197
1.753418783,8.246581217,0.113695991,973.0577845,7.76E-06,2.39E-08,0.035752097,-0.013835696
8.804978813,1.195021187,0.829132846,328.7002976,2.22E-06,2.70E-08,0.62837875,-0.202453954
7.089117616,2.910882384,0.336735475,1.366575881,3.98E-06,1.20E-06,-0.128432472,-0.13199259
7.288514442,2.711485558,51.3611447,222.6313494,2.20E-08,3.30E-08,0.927061368,-0.02040018
2.024909061,7.975090939,0.307135501,0.266488288,1.57E-06,3.33E-07,-0.068608843,-0.07134947
4.603087503,5.396912497,10.60033832,991.7881658,2.09E-07,9.45E-06,0.983891517,0.999336415
3.966384194,6.033615806,59.8480139,45.99799953,4.56E-07,1.03E-08,999,999
8.414119911,1.585880089,21.10894056,39.85658294,9.17E-07,1.12E-08,999,999
6.150920961,3.849079039,0.629654928,0.230018575,8.12E-06,9.53E-06,-0.427219949,-0.425389659
7.582092906,2.417907094,164.6258782,387.3767896,8.99E-06,5.67E-07,1.0002,1.00015278
4.547313591,5.452686409,72.71575513,0.130616491,7.32E-08,2.40E-08,-0.770731663,-0.790172714
2.817909774,7.182090226,90.35163494,0.918993061,1.59E-06,4.92E-06,0.399032381,0.413109156
5.436678296,4.563321704,0.334372849,0.373325367,1.78E-06,4.38E-06,-0.200575227,-0.20011769
1.510538049,8.489461951,0.312618888,127.9592726,1.10E-07,4.06E-07,0.081303958,0.067720413
7.621049376,2.378950624,513.1569368,0.620607342,2.35E-08,7.33E-07,999,999
6.053315193,3.946684807,3.89325433,439.089355,1.33E-08,6.60E-08,0.499571331,0.176436319
7.064701921,2.935298079,1.59880231,42.17704581,2.15E-06,1.42E-08,0.55124997,-0.420772037
3.836207745,6.163792255,9.001941398,0.139524618,2.95E-07,6.08E-07,-0.742063885,-0.740349666
8.765584195,1.234415805,44.81845188,0.105128226,9.05E-06,7.66E-08,999,999
8.144968971,1.855031029,664.4970055,0.16092802,2.48E-07,9.79E-07,-0.890645183,-0.888560463
7.227067977,2.772932023,1.398894322,26.52776799,8.59E-06,3.23E-06,0.800244394,0.794216188
2.557109663,7.442890337,500.3037029,160.6672068,1.72E-07,1.13E-08,999,999
4.73376803,5.26623197,0.125729725,0.89993529,2.40E-06,6.13E-07,-0.031269408,-0.034288116
1.350430126,8.649569874,16.62616818,249.8246983,1.80E-08,4.94E-08,0.544639675,0.059095827
2.234315937,7.765684063,34.34792032,0.169405599,4.64E-07,4.18E-06,-0.605450063,-0.583431276
6.464391626,3.535608374,0.265209829,159.9025592,2.55E-06,5.77E-08,0.245160608,0.00190583
6.958097247,3.041902753,0.36421547,514.2587865,5.94E-06,6.80E-07,0.376063622,0.341632801
8.740077859,1.259922141,4.74741587,122.5839458,2.94E-06,4.58E-07,0.997154687,0.98949507
3.606602865,6.393397135,732.7024582,62.01305629,1.29E-08,1.54E-07,0.997230567,999
3.963677648,6.036322352,24.21978106,224.8644881,1.31E-07,1.08E-06,0.989796166,1.000072338
4.75644649,5.24355351,539.6260248,0.144745542,1.40E-08,1.50E-06,999,-0.740935851
2.515770873,7.484229127,164.9846966,0.641399243,2.13E-08,5.02E-07,-0.04017818,0.062722629
2.039372043,7.960627957,7.405022905,0.316005555,1.06E-06,1.88E-06,-0.402755006,-0.402364667
4.80563941,5.19436059,137.7380077,10.42614981,1.38E-06,8.92E-06,1.000009739,1.000025065
2.815274792,7.184725208,0.117854762,95.66487609,2.09E-06,1.81E-07,0.057421436,0.033207886
6.358511957,3.641488043,0.273259952,33.11672474,3.95E-06,3.50E-07,0.243623159,0.196600591
4.497215351,5.502784649,207.8329775,253.819158,1.65E-06,1.09E-08,999,999
7.661425568,2.338574432,153.9105369,0.417687973,2.53E-06,2.44E-06,-0.661730925,-0.657817714
6.602120816,3.397879184,0.852242068,86.7929336,1.40E-08,3.64E-07,0.288005612,0.416246558
3.498933131,6.501066869,13.27633989,0.59178774,5.05E-08,1.67E-07,-0.242509109,-0.220355287
7.658078411,2.341921589,26.54992403,1.210695715,7.34E-07,1.92E-08,999,999
7.43811486,2.56188514,295.7711535,69.12239686,3.75E-06,4.67E-06,1.0002,1.0002
4.099827032,5.900172968,25.84810025,833.3340733,1.03E-08,1.53E-07,0.742765378,0.741007372
3.306624831,6.693375169,4.469781329,27.93665624,3.50E-07,1.12E-06,0.868065399,0.898090714
6.459964032,3.540035968,3.138601469,0.165196659,1.08E-06,2.81E-08,-0.725367503,-0.813533469
2.118019869,7.881980131,5.052756221,29.19011996,1.23E-08,7.67E-06,0.372153378,0.643867089
2.59926562,7.40073438,40.52510067,0.147707384,1.60E-07,3.43E-08,-0.641202135,-0.692461558
1.058898158,8.941101842,295.0954593,344.0193298,4.86E-06,3.97E-08,999,999
7.29539502,2.70460498,6.540147277,68.9149016,1.03E-06,3.78E-06,0.998677617,0.999764359
6.318806853,3.681193147,0.980298305,0.492619258,5.16E-08,5.47E-06,-0.328651036,-0.410240166
