EA_max,EB_max,EA_ratio,EB_ratio,S2_yield,S3_yield,S2_final,S3_final,converged,solver_status,immobilization,decay_kA,decay_kB,enzyme_profile
0.1,9.9,0.01,0.99,0.003751417,0.203031839,3.751416891,203.0318393,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
0.3,9.7,0.03,0.97,0.005932567,0.328156915,5.932566911,328.1569149,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
0.5,9.5,0.05,0.95,0.007082299,0.401217948,7.082299138,401.2179485,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
0.7,9.3,0.07,0.93,0.007844913,0.45452946,7.844913013,454.5294598,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
0.9,9.1,0.09,0.91,0.008399386,0.496690853,8.399385877,496.6908533,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
1.1,8.9,0.11,0.89,0.008825284,0.531537163,8.825283947,531.5371626,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
1.3,8.7,0.13,0.87,0.009165449,0.561165632,9.165448866,561.1656322,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
1.5,8.5,0.15,0.85,0.009445701,0.586864723,9.445701037,586.8647232,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
1.7,8.3,0.17,0.83,0.009682841,0.60948918,9.682841285,609.4891802,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
1.9,8.1,0.19,0.81,0.009888441,0.629638006,9.888440631,629.6380059,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
2.1,7.9,0.21,0.79,0.010070835,0.647748677,10.07083532,647.7486771,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
2.3,7.7,0.23,0.77,0.010236263,0.664151173,10.23626265,664.1511734,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
2.5,7.5,0.25,0.75,0.010389549,0.679100919,10.38954853,679.1009189,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
2.7,7.3,0.27,0.73,0.010534545,0.692799869,10.53454512,692.7998688,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
2.9,7.1,0.29,0.71,0.010674422,0.705410553,10.67442163,705.4105531,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
3.1,6.9,0.31,0.69,0.010811865,0.717065742,10.8118654,717.0657416,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
3.3,6.7,0.33,0.67,0.010949226,0.727875282,10.94922624,727.8752823,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
3.5,6.5,0.35,0.65,0.011088624,0.737931055,11.0886242,737.9310552,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
3.7,6.3,0.37,0.63,0.011232034,0.747310634,11.23203363,747.3106342,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
3.9,6.1,0.39,0.61,0.011381352,0.756080041,11.38135194,756.0800414,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
4.1,5.9,0.41,0.59,0.011538459,0.764295849,11.53845913,764.2958486,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
4.3,5.7,0.43,0.57,0.011705272,0.772006802,11.70527236,772.0068022,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
4.5,5.5,0.45,0.55,0.011883799,0.77925509,11.8837994,779.2550904,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
